"variable","code_sec","ressect","poidsp"
"h9","9209","9109",845.164284537958
"h9","9209","9111",327.106305472625
"h9","9209","9201",336.910290492393
"h9","9209","9211",249.526046968915
"h9","9209","9405",101.684333844045
"h9","9209","9411",157.412030837636
"h9","9209","9509",207.465755382877
"h9","9303","7503",392.608225754192
"h9","9303","7705",247.432763778033
"h9","9303","9110",417.393938702957
"h9","9303","9302",239.417005720995
"h9","9303","9304",539.669431526354
"h9","9303","9305",805.897159563186
"h9","9303","9306",721.251749592059
"h9","9303","9307",484.59075119719
"h9","9303","9310",795.77427774454
"h9","9303","9311",691.774818757558
"h9","9303","9312",367.409861865384
"h9","9303","9412",169.939181922109
"h9","9303","9505",116.140038677737
"h9","9303","9506",401.405743241738
"h9","9304","7505",422.187109495052
"h9","9304","7514",448.539352303586
"h9","9304","7709",386.52865850721
"h9","9304","9201",1103.34592871613
"h9","9304","9202",309.403802695395
"h9","9304","9305",281.645860545316
"h9","9304","9309",270.536763231089
"h9","9304","9310",261.689721975062
"h9","9304","9311",230.557923860619
"h9","9304","9312",801.565055913195
"h9","9304","9410",136.596568196579
"h9","9304","9504",155.962261177687
"h9","9304","9509",381.169936135751
"h9","9309","7703",198.014864158635
"h9","9309","7705",205.733095519832
"h9","9309","9102",111.355560417217
"h9","9309","9305",295.296396368779
"h9","9309","9307",1016.89866559694
"h9","9309","9308",340.743156481232
"h9","9309","9310",784.079227161495
"h9","9309","9311",534.064451903975
"h9","9309","9411",226.610238392651
"h9","9309","9412",82.8597879151922
"h9","9309","9506",479.142654526999
"h9","9309","9511",238.900031990647
"h9","9310","9201",786.401517128742
"h9","9310","9302",106.237886485192
"h9","9310","9307",310.282496988612
"h9","9310","9308",307.535098588808
"h9","9310","9309",574.297528518816
"h9","9310","9311",831.872587757521
"h9","9310","9312",279.358423648671
"h9","9310","9403",784.403356381278
"h9","9310","9507",201.824796005992
"h9","9310","9508",399.564339763768
"h9","9311","9210",685.920917452697
"h9","9311","9303",374.433780388685
"h9","9311","9305",582.316981036816
"h9","9311","9308",136.983224826042
"h9","9311","9312",1598.62921450186
"h9","9311","9413",160.259036204203
"h9","9311","9502",225.936795582239
"h9","9311","9507",231.390668593998
"h9","9311","9510",239.901457912965
"h9","9311","9511",327.645859319303
"h9","9312","7505",438.479848756589
"h9","9312","7511",517.519343872566
"h9","9312","7512",685.9895501161
"h9","9312","7513",896.929916648822
"h9","9312","7703",229.017142510687
"h9","9312","7706",104.541929729284
"h9","9312","7803",291.938002347611
"h9","9312","9101",142.836700760207
"h9","9312","9104",193.024739848897
"h9","9312","9203",231.078563792123
"h9","9312","9303",455.397204224707
"h9","9312","9308",96.7239673742393
"h9","9312","9309",269.310416623733
"h9","9312","9310",170.975462527995
"h9","9312","9311",1193.59774537219
"h9","9312","9502",225.936795582239
"h9","9312","9503",315.73034721876
"h9","9312","9504",218.702306520263
"h9","9312","9506",235.428648172535
"h9","9402","7706",134.563269501635
"h9","9402","9102",89.1861840187001
"h9","9402","9107",240.796852337081
"h9","9402","9212",288.76691794674
"h9","9402","9305",281.645860545316
"h9","9402","9312",340.527284135928
"h9","9402","9407",247.337705399178
"h9","9402","9410",277.270591645703
"h9","9402","9412",285.253992745121
"h9","9402","9508",803.194430663717
"h9","9403","7507",995.774216438459
"h9","9403","7704",317.311895782086
"h9","9403","7713",100.482432172352
"h9","9403","9110",193.62263920907
"h9","9403","9209",448.090620860321
"h9","9403","9211",196.327625112975
"h9","9403","9309",269.310416623733
"h9","9403","9310",193.465258960525
"h9","9403","9312",416.731018724128
"h9","9403","9402",1031.95188805957
"h9","9403","9404",652.074842086997
"h9","9403","9405",545.614127950332
"h9","9405","7703",281.420925704904
"h9","9405","7807",195.575273759329
"h9","9405","7809",310.716395613491
"h9","9405","9101",620.028073509828
"h9","9405","9103",153.955361243905
"h9","9405","9106",236.820429600943
"h9","9405","9109",293.204206203972
"h9","9405","9308",139.16596099356
"h9","9405","9312",403.544612231543
"h9","9405","9403",367.118503286052
"h9","9405","9404",1495.3253618711
"h9","9405","9406",579.84771933286
"h9","9405","9410",454.332371981359
"h9","9405","9504",133.118667778245
"h9","9405","9505",456.090637958393
"h9","9406","7513",1912.28776790339
"h9","9406","7710",788.417614994734
"h9","9406","9107",573.442579850068
"h9","9406","9112",264.205625601827
"h9","9406","9302",174.151579521106
"h9","9406","9306",219.548235008228
"h9","9406","9407",369.01165851509
"h9","9406","9408",566.582910404518
"h9","9406","9410",450.98794116619
"h9","9406","9411",432.993842649883
"h9","9406","9413",272.336443658543
"h9","9406","9414",48.9093543320457
"h9","9409","7509",1085.79191824172
"h9","9409","7514",495.204090861935
"h9","9409","7709",452.858118756751
"h9","9409","9107",431.036568939831
"h9","9409","9203",430.982894653852
"h9","9409","9302",111.738052430697
"h9","9409","9306",241.704840152995
"h9","9409","9407",494.675410798356
"h9","9409","9408",1122.68530100581
"h9","9409","9410",812.736471348109
"h9","9409","9412",403.203455142492
"h9","9409","9414",95.8080434858755
"h9","9411","9108",378.581894243411
"h9","9411","9304",467.197932689694
"h9","9411","9402",531.00107288692
"h9","9411","9410",378.035781618225
"h9","9411","9412",566.745023830753
"h9","9411","9414",93.330024392176
"h9","9502","7801",278.372733974333
"h9","9502","9311",453.737683835013
"h9","9502","9501",1138.57865320599
"h9","9502","9503",224.281539858866
"h9","9502","9504",268.190698099202
"h9","9502","9509",119.461607208306
"h9","9502","9512",274.825931817392
"h9","9502","9513",975.323163948646
"h10","7501","7502",698.090237630815
"h10","7501","7503",242.051953467107
"h10","7501","7505",486.120372608461
