"district","hour","mode1","mode2","mode3"
"145","7am",1.6764372,59.34751,38.97605
"146","7am",1.768785,65.24717,32.984046
"147","7am",0,71.57193,28.428068
"148","7am",1.0647561,57.78985,41.145398
"149","7am",3.1785394,78.70572,18.115741
"150","7am",6.3521008,61.17544,32.472463
"151","7am",13.1146619,62.5426,24.342736
"152","7am",2.7625691,68.0464,29.191034
"153","7am",1.3911656,60.94066,37.668172
"154","7am",0.972541,64.00652,35.020935
"155","7am",1.0193127,62.47802,36.502667
"156","7am",9.7008236,57.2677,33.03148
"157","7am",14.9276701,59.63252,25.439806
"158","7am",2.2513401,72.00235,25.746314
"159","7am",3.8390032,74.62976,21.531237
"160","7am",0,69.91451,30.085493
"161","7am",0.6654782,65.89721,33.437314
"162","7am",2.0640795,54.91981,43.016112
"163","7am",11.505995,56.6836,31.8104
"164","7am",6.7781715,63.19791,30.023921
"165","7am",0.9020659,72.24174,26.856198
"166","7am",0,59.95164,40.048362
"167","7am",1.8720431,63.29555,34.832403
"168","7am",0,68.96637,31.033629
"101","8am",32.7690053,38.22323,29.007766
"102","8am",14.8424509,51.21858,33.938968
"103","8am",16.2021526,46.06962,37.728226
"104","8am",20.8698752,48.769,30.361127
"105","8am",26.419147,42.95918,30.621676
"106","8am",19.3843618,44.04447,36.571167
"107","8am",13.1821736,41.65373,45.164096
"108","8am",19.3909292,69.0768,11.532271
"109","8am",15.6122263,62.02717,22.360607
"110","8am",14.9855651,38.54199,46.472443
"111","8am",21.986735,33.24138,44.771886
"112","8am",9.6494029,49.33407,41.016528
"113","8am",23.9343417,50.63279,25.432866
"114","8am",25.7509917,55.60662,18.642391
"115","8am",17.9645001,57.71426,24.321238
"116","8am",8.0257336,69.9147,22.059566
"117","8am",7.9723748,52.75736,39.270262
"118","8am",20.0577242,65.33367,14.608601
"119","8am",13.4659594,64.99341,21.540626
"120","8am",10.1168083,74.1311,15.752095
"121","8am",15.4051675,51.17404,33.420795
"122","8am",12.4794132,72.36355,15.157039
"123","8am",12.9020958,57.88586,29.212047
"124","8am",7.1302985,83.89057,8.979128
"125","8am",12.8935883,55.77368,31.332735
"126","8am",12.6225381,69.77765,17.59981
"127","8am",5.8786383,71.55018,22.571181
"128","8am",5.3077848,77.4218,17.270417
"129","8am",7.6188831,74.4278,17.953314
"130","8am",8.3164839,78.0171,13.66642
"131","8am",2.3082992,89.17055,8.521152
"132","8am",4.990203,88.22348,6.786312
"133","8am",4.2568135,82.44002,13.303168
"134","8am",5.4239731,77.22542,17.350607
"135","8am",8.5931643,66.0389,25.367932
"136","8am",7.6164785,81.41637,10.967149
"137","8am",1.1449851,82.34158,16.513433
"138","8am",4.2985043,66.45268,29.248814
"139","8am",1.0254866,92.54884,6.425674
"140","8am",3.3997617,84.11887,12.481368
"141","8am",6.9155293,66.07919,27.005282
"142","8am",6.7641127,65.93594,27.299946
"143","8am",5.8627124,69.73023,24.407059
"144","8am",1.6043473,70.05286,28.342795
"145","8am",1.915494,56.72778,41.356726
"146","8am",0,66.20109,33.798906
"147","8am",0,70.12305,29.876953
