"district","hour","resarea1","resarea2","resarea3"
"110","10am",9.726459,84.5695589,5.703982
"111","10am",9.688372,86.6311392,3.680489
"112","10am",17.352423,48.8148671,33.8327099
"113","10am",19.067344,74.1560737,6.7765824
"114","10am",22.014394,68.5694865,9.41612
"115","10am",89.155377,5.102184,5.7424386
"116","10am",17.705802,75.2368544,7.0573437
"117","10am",24.002137,68.2226046,7.7752585
"118","10am",4.174077,94.2412361,1.5846874
"119","10am",90.991067,9.0089325,0
"120","10am",91.366796,3.0489747,5.5842297
"121","10am",84.335784,11.510542,4.1536735
"122","10am",90.609225,6.7365612,2.6542135
"123","10am",98.871937,1.1280629,0
"124","10am",94.257177,5.7428231,0
"125","10am",90.421123,8.647769,0.931108
"126","10am",100,0,0
"127","10am",86.387644,9.7775944,3.8347613
"128","10am",84.855381,5.2804998,9.864119
"129","10am",87.030417,2.747575,10.2220082
"130","10am",100,0,0
"131","10am",94.602961,5.3970388,0
"132","10am",91.628662,6.7492381,1.6220998
"201","10am",93.67853,0.5374059,5.7840642
"202","10am",95.602528,2.4300143,1.9674575
"203","10am",92.711635,4.3935652,2.8947996
"204","10am",97.05632,2.9436802,0
"205","10am",96.514216,3.4857837,0
"206","10am",100,0,0
"207","10am",98.756534,0,1.2434662
"208","10am",100,0,0
"209","10am",97.89977,2.1002297,0
"210","10am",18.665673,76.8566593,4.4776674
"211","10am",97.125547,2.8744533,0
"212","10am",87.35431,12.6456899,0
"213","10am",94.971947,5.0280531,0
"214","10am",97.920708,2.0792919,0
"215","10am",95.05114,1.8298083,3.1190514
"216","10am",89.97279,6.4289226,3.5982879
"217","10am",9.938655,90.0613446,0
"218","10am",13.402631,86.5973692,0
"219","10am",5.23024,94.7697603,0
"220","10am",11.081169,85.482509,3.4363224
"221","10am",13.570872,86.4291284,0
"222","10am",80.276603,19.7233973,0
"223","10am",12.26416,87.1759602,0.5598796
"224","10am",93.824643,6.1753571,0
"101","11am",16.155626,25.400386,58.443988
"102","11am",16.561317,23.983779,59.454904
"103","11am",14.18567,12.126998,73.687332
"104","11am",17.650976,19.636537,62.712487
"105","11am",32.517336,15.552802,51.929862
"106","11am",20.579618,14.305606,65.114776
"107","11am",11.215113,8.607392,80.177496
"108","11am",12.259317,7.899266,79.841417
"109","11am",13.268511,77.323694,9.407795
"110","11am",7.074667,90.580448,2.344885
"111","11am",12.887711,83.533539,3.57875
"112","11am",18.250799,48.842042,32.907159
"113","11am",18.039642,76.669691,5.290667
"114","11am",19.233642,71.558326,9.208032
"115","11am",91.518013,5.291798,3.190188
"116","11am",16.426998,76.779102,6.7939
"117","11am",23.414654,71.131488,5.453858
"118","11am",4.77431,93.864636,1.361054
"119","11am",90.445504,9.554496,0
"120","11am",95.967905,4.032095,0
"121","11am",89.735107,10.264893,0
"122","11am",91.086642,6.394082,2.519276
"123","11am",98.871937,1.128063,0
"124","11am",94.664175,5.335825,0
"125","11am",90.222087,6.512781,3.265132
"126","11am",100,0,0
"127","11am",85.854665,8.673331,5.472004
"128","11am",84.928671,4.878046,10.193282
"129","11am",86.234208,2.13202,11.633773
"130","11am",100,0,0
"131","11am",95.102012,4.897988,0
"132","11am",91.766878,6.637804,1.595318
"201","11am",94.43378,0,5.56622
"202","11am",96.174419,2.113991,1.71159
"203","11am",91.585194,5.061308,3.353498
"204","11am",97.642359,2.357641,0
"205","11am",96.747305,3.252695,0
"206","11am",100,0,0
"207","11am",98.750999,0,1.249001
"208","11am",100,0,0
"209","11am",97.875623,2.124377,0
"210","11am",17.874862,77.594924,4.530213
"211","11am",97.118945,2.881055,0
"212","11am",90.443764,9.556236,0
"213","11am",94.905702,5.094298,0
"214","11am",98.074873,1.925127,0
"215","11am",94.980873,1.855789,3.163338
"216","11am",90.195119,6.139969,3.664912
"217","11am",9.350529,90.649471,0
"218","11am",12.349293,87.650707,0
"219","11am",4.795399,95.204601,0
"220","11am",10.677214,85.578629,3.744156
"221","11am",13.42344,86.57656,0
"222","11am",83.388544,16.611456,0
"223","11am",11.25564,88.155609,0.588751
"224","11am",92.312821,4.661262,3.025916
"101","12am",18.947881,20.782291,60.269829
"102","12am",16.47309,15.295955,68.230955
"103","12am",12.634558,10.900114,76.465328
"104","12am",17.924491,19.059305,63.016204
"105","12am",30.323402,12.023715,57.652883
"106","12am",22.813912,12.644899,64.541189
"107","12am",12.083865,5.657104,82.259031
"108","12am",9.333621,4.627222,86.039157
"109","12am",7.172436,84.781214,8.046351
"110","12am",5.70622,92.106602,2.187177
"111","12am",10.509035,85.966606,3.52436
"112","12am",19.603737,53.89497,26.501293
"113","12am",14.148489,81.605557,4.245954
"114","12am",18.99465,75.150444,5.854906
"115","12am",90.977669,6.028959,2.993373
"116","12am",13.383107,77.311818,9.305075
"117","12am",21.123849,72.671348,6.204803
"118","12am",3.260768,93.110033,3.629198
"119","12am",96.319379,3.680621,0
"120","12am",96.343408,3.656592,0
"121","12am",91.323285,8.676715,0
"122","12am",93.850116,6.149884,0
"123","12am",98.928366,1.071634,0
"124","12am",95.285616,4.714384,0
"125","12am",91.026776,6.609931,2.363293
"126","12am",82.944518,17.055482,0
"127","12am",86.739279,6.662786,6.597935
"128","12am",87.19066,4.901159,7.908181
"129","12am",85.974762,1.452297,12.57294
"130","12am",98.766996,1.233004,0
"131","12am",94.613245,5.386755,0
"132","12am",92.787452,5.67552,1.537028
"201","12am",95.565628,0,4.434372
"202","12am",96.532621,1.916051,1.551328
"203","12am",92.740737,3.780694,3.47857
"204","12am",97.264463,2.735537,0
"205","12am",100,0,0
"206","12am",100,0,0
"207","12am",98.728697,0,1.271303
"208","12am",100,0,0
"209","12am",97.501696,2.498304,0
"210","12am",12.940514,82.4047,4.654786
"211","12am",97.297364,2.702636,0
"212","12am",95.466799,4.533201,0
"213","12am",94.493682,5.506318,0
"214","12am",100,0,0
"215","12am",95.093428,1.814173,3.092399
"216","12am",91.010754,5.577733,3.411514
"217","12am",6.21246,93.78754,0
"218","12am",6.550199,93.449801,0
"219","12am",2.654665,97.345335,0
