"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"002","12am",859.4766,2814.7124,2492.03,2009.33357,197.51032
"003","12am",2360.7843,2399.758,3548.0383,2956.42961,714.61113
"004","12am",938.9124,1018.243,1316.115,979.76001,612.27611
"005","12am",1741.7651,731.0731,1742.581,1723.73104,744.29501
"006","12am",622.3562,434.2365,1541.9633,1480.78395,891.29243
"007","12am",283.8569,989.3455,1800.9369,942.01836,184.86496
"008","12am",1636.7484,1712.0598,870.2689,377.44971,0
"009","12am",1177.2818,1379.225,2181.0003,1549.51019,397.77449
"010","12am",1547.5845,1312.3585,1130.8186,706.87817,83.14339
"011","12am",559.4476,1648.1776,1685.4399,1227.23354,386.18837
"012","12am",3104.7438,1717.4395,590.5827,498.81145,0
"013","12am",1519.8317,477.4052,509.2465,83.22055,191.53321
"014","12am",1040.6812,1920.4753,3581.0672,1527.40676,820.44636
"015","12am",189.4327,673.7601,1106.7972,627.78988,358.25644
"016","12am",192.0351,406.8396,1221.9335,659.05588,455.85562
"017","12am",204.4632,1155.8654,939.998,653.15846,419.61349
"018","12am",847.2677,1081.0743,759.6761,511.29535,94.3371
"019","12am",525.8939,1646.2174,1472.4697,368.90601,273.36975
"020","12am",1103.4893,2972.6618,5020.8819,2504.49609,444.64262
"021","12am",1122.5528,1381.9944,1609.4334,958.85501,134.19453
"022","12am",924.5058,2756.0471,3416.7832,866.26155,326.52337
"023","12am",277.9386,1284.6944,1380.3575,1472.08266,76.43864
"024","12am",1351.3667,1234.4663,2998.7397,1032.13382,141.49366
"025","12am",539.6411,2078.5661,2602.7118,1137.65777,322.69983
"026","12am",236.337,1357.9178,1817.2951,850.13771,176.69903
"027","12am",1395.058,1862.5657,1359.3732,1137.11045,179.15098
"028","12am",1395.6193,1379.457,2303.5154,1294.05435,130.204
"029","12am",331.5835,2057.3752,2762.2209,1505.19036,150.08406
"030","12am",1720.4996,3210.4778,2684.5282,1209.73253,157.75482
"031","12am",1624.5333,3408.2962,1118.5116,1858.67545,267.09322
"001","1pm",669.5203,957.0901,1563.5558,1314.4804,667.86533
"002","1pm",867.4154,2656.9969,2689.3016,1884.6112,172.06212
"003","1pm",2099.7093,2343.7425,3521.5349,3059.0688,918.75061
"004","1pm",924.5333,946.6357,1746.1334,1166.7256,546.22941
"005","1pm",1634.6939,969.7435,1898.2693,1695.2007,783.97249
"006","1pm",592.5584,562.133,1550.7189,1563.9771,815.32199
"007","1pm",283.8569,767.1718,1733.554,825.2678,161.09882
"008","1pm",1535.1162,1431.9163,777.7962,419.282,0
"009","1pm",1365.3703,1316.6572,2308.4378,1424.777,513.72688
"010","1pm",1521.5846,1314.3352,1067.799,778.568,83.14339
"011","1pm",778.6168,1736.2284,1680.993,1276.3109,264.89062
"012","1pm",3207.967,1407.7803,653.1362,498.8114,62.98235
"013","1pm",1266.8515,405.3957,639.1154,132.1162,149.95521
"014","1pm",1303.1726,2468.6832,3648.6528,1936.2306,842.47797
"015","1pm",163.5819,672.6964,1000.0665,559.736,235.81295
"016","1pm",159.698,344.139,1120.346,558.0648,366.00802
"017","1pm",235.5406,1041.2329,863.0696,562.3088,420.97363
"018","1pm",892.3797,889.6346,799.1529,472.8329,221.7259
"019","1pm",660.0987,1527.2703,1557.1758,768.3041,233.70732
"020","1pm",1234.6117,3224.205,5536.7751,2237.3826,225.99621
"021","1pm",1094.9277,1371.0131,1442.1275,818.2462,134.19453
"022","1pm",952.1309,2842.0021,3484.7434,894.0735,425.39417
"023","1pm",277.9386,1097.9093,1434.0224,1338.7953,171.96806
"024","1pm",1236.5855,1314.674,2661.0042,1050.216,180.62011
"025","1pm",539.6411,1988.8331,2634.8507,1069.75,322.69983
"026","1pm",236.337,1344.3648,1620.606,845.2752,111.48665
"027","1pm",1054.0733,1825.8714,1175.9234,1050.9276,138.47592
"028","1pm",1413.2602,1446.56,2127.0602,1422.154,177.38279
"029","1pm",331.5835,1817.206,2989.1225,1390.2503,150.08406
"030","1pm",1690.1664,3202.9194,2503.7349,953.8128,243.29843
"031","1pm",1624.5333,3176.3286,1226.6639,1670.094,267.09322
"001","2pm",828.58221,1033.685,1610.7668,1299.3413,846.07127
"002","2pm",938.74801,2487.8996,2418.5343,1713.7308,237.01008
"003","2pm",2044.92826,2453.7288,3459.7219,3380.5862,963.15138
"004","2pm",794.68983,1204.4085,2185.0753,1114.6397,480.59838
"005","2pm",1445.30406,982.9954,1735.8069,1529.246,811.21067
"006","2pm",610.23914,582.3949,1461.0614,1204.6781,731.08362
"007","2pm",309.35889,1096.9741,1552.5115,596.3019,161.09882
"008","2pm",1618.06831,1285.1264,706.064,716.9556,0
"009","2pm",1548.89932,1323.5829,1983.9898,1289.621,587.79841
"010","2pm",1427.04681,1348.4052,1047.1288,685.7867,83.14339
"011","2pm",703.36501,1694.8863,1696.8263,1244.0946,277.90677
"012","2pm",3405.22657,1581.4438,402.9381,452.7489,62.98235
"013","2pm",1115.2366,515.4888,563.1817,181.9535,149.95521
"014","2pm",1853.09836,2302.6666,3419.7235,1709.0635,693.41743
"015","2pm",152.91569,702.919,906.7628,508.4994,407.76671
"016","2pm",93.54793,379.5266,1059.1741,619.0204,366.00802
"017","2pm",170.33086,878.6793,656.9183,580.6543,304.25312
"018","2pm",730.32916,1108.9605,770.6329,472.8329,221.7259
"019","2pm",691.80238,1628.5292,1662.5482,861.8727,348.5589
"020","2pm",1534.31074,3254.9763,6282.408,2510.2555,260.86611
"021","2pm",1017.54899,1311.3936,1370.9158,891.9704,134.19453
"022","2pm",707.44248,2853.6739,3658.0458,913.4688,326.52337
"023","2pm",277.93859,1083.2059,1268.8224,1304.0687,171.96806
"024","2pm",1070.12253,1270.8209,2270.7972,1050.216,78.2529
"025","2pm",539.64113,1860.5494,2888.0957,1114.7029,248.59989
"026","2pm",236.33697,1577.4923,1655.8809,939.8393,258.39694
"027","2pm",851.58152,1758.9758,1168.1689,1201.08,119.64942
"028","2pm",1285.69062,1367.6062,2253.8917,1436.0954,197.59588
"029","2pm",304.18114,1706.6147,2987.4701,1345.488,204.59438
"030","2pm",1738.69476,2703.4571,2750.3731,1146.8942,271.95333
"031","2pm",1483.69036,3262.3255,1226.6639,1479.2291,267.09322
"001","3pm",598.788,1073.1503,1775.297,1587.96506,927.96858
"002","3pm",871.2859,2385.5351,2374.1186,1639.2871,258.69497
"003","3pm",2225.1989,2234.551,3567.4105,2943.50216,881.8454
"004","3pm",924.4361,1235.6707,1837.9672,1120.99549,501.28033
"005","3pm",1419.6364,1099.7395,1436.762,1933.20705,775.7444
"006","3pm",509.8766,702.7762,1543.0467,1111.61135,715.28021
"007","3pm",281.1002,1147.2388,1535.4826,824.65977,237.48518
"008","3pm",1540.0791,1224.9583,724.4546,627.84128,0
"009","3pm",1464.5941,1604.2037,2243.0977,1227.84335,571.14473
"010","3pm",1512.4325,1343.3477,980.257,737.68486,21.34253
"011","3pm",649.4715,1689.3831,1790.93,1107.31253,257.9195
"012","3pm",3016.7328,1347.6871,378.0186,359.91479,0
"013","3pm",1226.4293,693.2344,679.7273,70.17903,85.8108
"014","3pm",1647.5274,2267.0781,3169.7783,1611.56668,825.01176
"015","3pm",176.0822,706.0469,947.8248,559.58806,526.15086
"016","3pm",108.887,200.0796,991.6942,611.29382,387.67425
"017","3pm",170.3309,771.015,534.6908,464.75966,243.77576
"018","3pm",795.4284,1043.7443,800.8145,573.90024,221.7259
"019","3pm",568.1654,1668.2419,1623.8603,769.60203,267.68095
"020","3pm",1877.6284,3595.2607,6497.2324,2373.89762,181.88273
"021","3pm",962.2989,1352.8611,1222.3667,834.45128,134.19453
"022","3pm",561.7015,2896.2321,3576.1838,913.46882,326.52337
"023","3pm",237.2469,876.8888,1288.8942,1424.61935,171.96806
"024","3pm",1240.3146,1157.8264,2442.0827,1228.44624,180.62011
"025","3pm",571.1862,1757.4627,2826.1364,1019.13423,322.69983
"026","3pm",283.5458,1373.6884,1745.8818,1046.95716,152.15809
"027","3pm",879.884,1759.9309,1242.9702,1451.50391,68.39398
"028","3pm",1247.1096,975.7188,2373.9585,1244.09839,162.55491
"029","3pm",304.1811,1684.8215,3035.5746,1356.65585,204.59438
"030","3pm",1760.4448,2665.1393,2842.7767,1278.57614,271.95333
"031","3pm",1466.676,3171.5869,1226.6639,1540.89189,267.09322
"001","4pm",623.7225,1031.1193,1613.8027,1648.9342,810.39395
"002","4pm",991.073,2486.0384,2575.3987,1606.1142,380.80945
"003","4pm",1788.3743,2047.2655,3534.8714,2745.8485,857.7089
"004","4pm",553.3486,1010.9012,1626.0712,1032.3604,573.96174
"005","4pm",1824.7511,1264.8236,1254.3555,1945.4631,683.42132
"006","4pm",491.7854,273.8765,1649.7449,1189.0714,832.39894
"007","4pm",326.3252,1364.3665,1397.0542,930.8661,324.74147
"008","4pm",1745.2503,1367.9524,614.1177,600.6374,0
"009","4pm",1179.4648,1665.762,1984.7702,1082.5428,560.36891
"010","4pm",1485.7328,1448.83,1349.7211,709.8585,76.07108
"011","4pm",645.8622,2012.9484,1641.6113,1004.061,365.00265
"012","4pm",3156.7026,1361.3927,364.63,177.8386,0
"013","4pm",1306.499,561.6381,610.5468,290.6507,85.8108
"014","4pm",1289.5374,1639.1777,2509.1029,1415.5045,641.13309
"015","4pm",263.0801,763.2264,956.2028,458.8366,377.8154
"016","4pm",191.2957,218.5209,973.8091,732.1614,347.53279
"017","4pm",213.5716,756.1493,616.9012,618.3607,427.2113
"018","4pm",816.3414,894.6057,816.029,345.3194,221.7259
"019","4pm",597.4139,1740.7476,1487.3003,574.7825,267.68095
"020","4pm",1848.5418,2990.8921,5464.5587,2240.7742,181.33214
"021","4pm",988.4127,1548.4123,1343.5778,771.0063,134.19453
"022","4pm",479.8467,2944.5621,3836.9728,919.3007,326.52337
"023","4pm",277.9386,969.2706,1642.2955,1330.2469,171.96806
"024","4pm",1256.4244,1308.2633,2600.5649,1213.0392,180.62011
"025","4pm",571.1862,1949.4897,2896.5672,981.6139,327.85956
"026","4pm",283.5458,1392.4295,2143.4415,1174.0601,217.37047
"027","4pm",1001.537,1705.0083,1538.6913,1631.3666,103.43495
"028","4pm",1323.018,959.2061,2373.9338,1259.8641,162.55491
"029","4pm",304.1811,2031.6484,3228.0235,1815.4125,204.59438
"030","4pm",1872.5821,3153.3252,3480.0472,1524.2733,328.93555
"031","4pm",1466.676,3244.4925,1226.6639,1688.3404,267.09322
"001","5pm",432.41,904.4325,1438.4821,1172.7082,935.9184
"002","5pm",795.7123,2315.2983,2746.1127,1478.9967,205.4041
"003","5pm",1775.0849,1532.7962,2995.2447,2472.8448,722.5235
"004","5pm",630.0333,943.17,1444.4641,891.4366,647.4767
"005","5pm",1840.2,1352.436,1523.4053,2005.3677,939.8809
"006","5pm",512.3808,617.4245,2065.3067,1793.0422,853.482
"007","5pm",340.9108,1252.932,1702.1511,1081.334,400.2038
"008","5pm",1969.51,1405.2593,743.9732,487.1139,127.3888
"009","5pm",1260.9757,1819.9595,1987.9895,630.6501,631.1525
"010","5pm",1523.0694,1330.2857,1433.8391,744.5971,116.6857
"011","5pm",617.4811,1700.0755,1353.7565,1222.783,291.0985
