"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"023","8am",5.66741,29.431786,24.42927,36.315317,4.156219
"024","8am",18.269166,17.884557,42.17977,18.647715,3.018789
"025","8am",7.863798,27.221896,39.68523,19.871468,5.357609
"026","8am",4.888012,30.431126,38.48767,21.873928,4.319266
"027","8am",21.490228,28.245221,25.72279,22.217328,2.324435
"028","8am",19.597776,20.066437,39.38069,19.121357,1.833743
"029","8am",4.990921,31.108376,44.48867,17.153,2.259031
"030","8am",18.408401,36.775074,30.85719,11.135801,2.823537
"031","8am",18.888527,39.820307,13.00499,24.874971,3.411209
"001","9am",7.717292,20.54155,37.68088,21.556174,12.504112
"002","9am",11.381576,32.77205,33.10417,20.478757,2.263452
"003","9am",18.123008,22.86143,27.20144,23.780093,8.034027
