"district","hour","mode1","mode2","mode3"
"040","7am",243.61085,6576.911,491.5557
"041","7am",769.00418,3644.99,954.5279
"042","7am",523.24516,6625.363,844.7172
"043","7am",135.03133,4041.862,513.0883
"044","7am",415.2914,4304.967,857.6385
"045","7am",306.768,4160.76,1191.9067
"046","7am",992.92331,4896.103,1019.8117
"047","7am",920.55727,8110.019,991.5456
"048","7am",238.59728,3471.83,1000.9751
"049","7am",819.98282,6920.501,319.051
"050","7am",178.88973,3018.747,722.2135
"051","7am",27.00491,4457.413,875.362
"052","7am",238.11471,6739.081,859.2716
"053","7am",809.07439,9433.101,532.2025
"101","7am",0,5036.467,1340.816
"102","7am",76.49507,4493.758,1212.3966
"103","7am",0,6288.884,2892.2371
"104","7am",199.11013,4141.374,1235.5427
"105","7am",29.33913,6079.73,617.5699
"106","7am",512.07878,4803.538,921.742
"107","7am",255.5637,4818.318,166.374
"108","7am",0,4779.44,1351.9202
"109","7am",0,4338.319,900.9244
"110","7am",225.59861,6540.774,418.4121
"111","7am",60.66794,5214.187,1695.0547
"112","7am",0,5192.816,786.3596
"113","7am",857.01902,4430.926,966.3393
"114","7am",291.91598,3646.016,1375.1491
"115","7am",27.92131,2470.724,1735.2655
"116","7am",1397.57056,5315.742,2067.7242
"117","7am",162.22672,2451.352,1272.0085
"118","7am",864.95562,4217.424,2523.4446
"119","7am",550.62138,7181.503,1275.1937
"120","7am",92.27523,3985.104,993.7057
"121","7am",111.16881,7593.323,986.7549
"122","7am",96.72707,5357.934,872.9845
"123","7am",120.73796,6541.512,949.1567
"124","7am",107.512,3900.982,719.1186
"125","7am",331.37395,4364.869,589.8575
"126","7am",140.0741,3140.573,204.0666
"127","7am",312.81742,2989.044,1020.3613
"128","7am",48.82533,3793.577,594.403
"129","7am",47.6485,4035.314,467.0622
"130","7am",240.27952,3102.344,571.7673
"131","7am",0,5811.065,2238.2689
"132","7am",322.69489,7723.591,2593.6551
"133","7am",629.64357,7573.256,2676.5526
"134","7am",49.78074,2467.242,621.7871
"135","7am",38.83649,3689.371,706.7814
"136","7am",46.17448,3446.227,661.5219
"200","7am",77.03585,6120.835,780.0385
"201","7am",131.96661,5387.532,1053.1458
"202","7am",422.46976,8228.209,792.5756
"203","7am",416.65352,4934.092,694.7716
"204","7am",364.29752,4705.324,983.442
"205","7am",413.13841,6904.899,1642.6151
"206","7am",0,4223.96,759.9083
"207","7am",0,4409.307,971.8723
"208","7am",272.25022,6851.16,1111.8015
"209","7am",0,4738.051,566.5723
"210","7am",653.01401,6988.456,1486.5393
"211","7am",0,5149.624,392.4265
"212","7am",0,4286.331,697.2796
"213","7am",0,4377.685,1109.7214
"214","7am",0,4122.813,1011.1344
"215","7am",0,6503.145,917.2822
"216","7am",0,5151.527,1005.7573
"217","7am",735.07117,7884.528,2088.5234
"218","7am",375.0184,4933.955,736.004
"219","7am",77.66548,4325.785,1050.8327
"220","7am",97.33876,4624.79,662.4312
"221","7am",131.13554,3085.29,712.6734
"222","7am",214.30095,7143.327,793.0449
"223","7am",0,2301.056,401.3455
"224","7am",184.24512,5092.143,1232.9216
"225","7am",300.48691,3365.88,771.3608
"226","7am",141.26791,4536.386,1168.9607
"227","7am",152.30231,4929.826,989.5596
"228","7am",237.26304,6122.694,537.0224
"229","7am",421.9084,4969.857,593.9821
"230","7am",0,3193.769,680.7006
"231","7am",732.17355,5977.402,1372.4728
"232","7am",62.07114,2802.736,349.2672
"233","7am",0,3992.204,965.208
"001","8am",3718.22183,2988.038,4635.5369
"002","8am",5577.30739,4730.786,4456.3979
"003","8am",2200.2471,2641.709,3402.8631
"004","8am",4935.32862,4373.738,4857.0958
"005","8am",3326.08257,2878.26,3492.6582
"006","8am",3462.85286,4621.313,3146.9653
"007","8am",7752.82793,8709.768,4970.2054
"008","8am",1224.819,2891.183,1297.9495
"009","8am",1106.84404,2496.852,1346.3976
"010","8am",1514.54757,3530.126,2451.0007
"011","8am",1437.15259,2506.448,1461.705
"012","8am",746.43191,1991.56,2557.7394
"013","8am",914.45366,3191.618,1368.7206
"014","8am",3166.74074,4049.948,1571.2463
"015","8am",1091.77611,2964.952,2154.8095
"016","8am",2196.38211,5348.286,2845.2769
"017","8am",3453.63585,5662.098,2317.5013
"018","8am",629.5694,6367.06,1932.1463
"019","8am",1488.14556,4856.862,2447.5847
"020","8am",2144.56915,5632.734,1928.9284
"021","8am",364.47143,3255.778,1130.921
"022","8am",1509.92272,8420.284,2195.6171
