"district","hour","educmen1","educmen2","educmen3","educmen4"
"018","6pm",12.763816,46.51199,39.34919,1.3750043
"001","7pm",6.975203,36.81795,55.91337,0.2934823
"002","7pm",8.175737,43.16154,48.24781,0.4149115
"003","7pm",7.552141,43.15966,49.2882,0
"004","7pm",7.015076,42.08597,50.89895,0
"005","7pm",7.463642,43.48072,48.34246,0.7131781
"006","7pm",12.742161,56.29574,30.9621,0
"007","7pm",12.238769,50.23518,36.58955,0.9365026
"008","7pm",12.725184,55.55233,28.82273,2.8997633
"009","7pm",9.411964,56.13734,34.05191,0.3987791
"010","7pm",16.401818,42.34766,41.25052,0
"011","7pm",12.861392,49.1069,38.0317,0
"012","7pm",11.821826,51.15764,35.62441,1.3961181
"013","7pm",9.86704,50.31754,39.08714,0.7282794
"014","7pm",12.349874,54.85672,32.7934,0
"015","7pm",7.208788,52.73737,40.05384,0
"016","7pm",9.767721,56.79128,32.90774,0.5332637
"017","7pm",15.491051,53.56759,30.94136,0
"018","7pm",11.855746,46.1789,40.76908,1.1962738
"001","8pm",7.8608,37.91702,54.22218,0
"002","8pm",8.920108,42.61044,48.07158,0.3978663
"003","8pm",7.407036,42.67813,49.91483,0
"004","8pm",7.08937,41.04967,51.86096,0
"005","8pm",7.096074,43.11291,49.11296,0.6780557
"006","8pm",12.533349,55.26388,31.7719,0.4308716
"007","8pm",12.114787,51.15443,35.80376,0.9270156
"008","8pm",12.406896,55.5965,29.16937,2.8272332
"009","8pm",9.3117,54.71592,35.57784,0.3945309
"010","8pm",15.891586,41.82967,42.27875,0
"011","8pm",11.725898,48.53017,39.74393,0
"012","8pm",11.62871,50.99827,35.99971,1.3733117
"013","8pm",10.130873,51.45973,37.66165,0.7477528
"014","8pm",11.685885,55.30729,33.00683,0
"015","8pm",6.862788,51.41203,41.72518,0
"016","8pm",9.899334,56.01916,33.57678,0.5047204
"017","8pm",16.023522,54.65047,29.32601,0
"018","8pm",11.768478,46.72863,40.31543,1.1874683
"001","9pm",7.578769,39.19908,53.22215,0
"002","9pm",9.157789,40.89652,49.53723,0.4084676
"003","9pm",7.808899,43.51543,48.67567,0
"004","9pm",6.86906,40.56595,52.56499,0
"005","9pm",7.113211,44.04932,48.15777,0.6796933
"006","9pm",12.376799,55.8457,31.35202,0.4254897
"007","9pm",11.857613,50.44081,36.79424,0.9073368
"008","9pm",12.248414,56.1637,28.79677,2.791119
"009","9pm",9.232128,54.65205,35.72466,0.3911595
"010","9pm",16.675976,39.09208,44.23195,0
"011","9pm",11.792641,47.96399,40.24336,0
"012","9pm",11.460498,52.48999,34.69607,1.3534465
"013","9pm",10.227572,51.649,37.36854,0.7548901
"014","9pm",11.28022,54.4596,34.26018,0
"015","9pm",6.895112,50.72371,42.38118,0
"016","9pm",10.13672,57.3625,31.98395,0.5168236
"017","9pm",15.717446,55.57431,28.70825,0
"018","9pm",11.511358,47.3699,39.95722,1.1615243
"001","10pm",6.835917,40.14126,53.02282,0
"002","10pm",10.017435,39.18582,50.40733,0.3894133
"003","10pm",7.945568,43.6251,48.42933,0
"004","10pm",6.983143,39.97293,53.04393,0
"005","10pm",7.039838,42.57159,49.71589,0.6726821
"006","10pm",11.913551,54.65842,33.01847,0.4095642
"007","10pm",11.703151,49.99437,37.40696,0.8955175
"008","10pm",12.251455,55.30032,29.65641,2.7918118
"009","10pm",8.629507,56.54992,34.45494,0.3656268
"010","10pm",16.932548,39.82317,43.24428,0
"011","10pm",12.053169,47.83174,40.11509,0
"012","10pm",11.440595,51.45472,35.75358,1.351096
"013","10pm",10.42977,52.01507,36.78534,0.7698142
"014","10pm",11.211721,54.64391,34.14436,0
"015","10pm",6.840469,50.32173,42.8378,0
"016","10pm",10.07804,57.94657,31.46156,0.5138317
"017","10pm",15.274999,57.28085,27.44415,0
"018","10pm",11.144308,46.41573,41.31547,1.124488
"001","11pm",6.36141,40.07691,53.56168,0
"002","11pm",10.021805,37.60994,51.97867,0.3895831
"003","11pm",8.139498,44.21091,47.64959,0
"004","11pm",6.986679,40.60633,52.40699,0
"005","11pm",6.946968,41.53961,50.84962,0.663808
"006","11pm",11.984921,54.98585,32.61721,0.4120177
"007","11pm",11.733459,49.86487,37.50384,0.8978366
"008","11pm",12.119166,55.78298,29.33619,2.7616664
"009","11pm",8.631719,57.10114,33.90142,0.3657206
"010","11pm",16.985032,40.44813,42.56683,0
"011","11pm",12.527116,48.39981,39.07307,0
"012","11pm",11.227514,51.82231,35.62424,1.3259318
"013","11pm",10.349738,51.78012,37.10623,0.763907
"014","11pm",11.195019,55.27346,33.53152,0
"015","11pm",6.840469,50.32173,42.8378,0
"016","11pm",9.952948,57.76834,31.77126,0.5074539
"017","11pm",15.093167,56.54322,28.36361,0
"018","11pm",11.233257,44.00172,43.63156,1.1334632
"001","12pm",6.443393,37.57769,55.97891,0
"002","12pm",9.78024,39.5417,50.29786,0.3801927
"003","12pm",8.117144,43.40981,48.47304,0
"004","12pm",7.028693,40.24917,52.72214,0
"005","12pm",6.955967,42.14169,50.23767,0.664668
"006","12pm",12.064859,54.68561,32.83476,0.4147658
"007","12pm",11.582975,49.22534,38.30536,0.8863217
"008","12pm",11.809628,56.91234,28.5869,2.6911301
"009","12pm",8.681942,57.43338,33.51683,0.3678485
"010","12pm",17.434395,41.51825,41.04736,0
"011","12pm",12.397687,47.89975,39.70257,0
"012","12pm",11.180859,51.22616,36.27256,1.3204221
"013","12pm",10.415269,51.47481,37.34117,0.7687439
"014","12pm",11.303904,55.81106,32.88504,0
"015","12pm",6.794423,49.98299,43.22259,0
"016","12pm",9.799896,56.88,32.82045,0.4996505
"017","12pm",15.283669,57.88983,26.8265,0
"018","12pm",11.167143,43.74275,43.96331,1.1267922
"001","1am",6.585519,36.91631,56.49817,0
"002","1am",9.78024,39.5417,50.29786,0.3801927
"003","1am",8.117144,43.40981,48.47304,0
"004","1am",7.028693,40.24917,52.72214,0
"005","1am",6.833405,41.39917,51.11447,0.6529568
"006","1am",12.02992,54.81684,32.73968,0.4135647
"007","1am",11.582975,49.22534,38.30536,0.8863217
"008","1am",11.854271,56.74945,28.69497,2.7013033
"009","1am",8.640076,57.63864,33.35521,0.3660747
"010","1am",17.434395,41.51825,41.04736,0
"011","1am",12.397687,47.89975,39.70257,0
"012","1am",11.180859,51.22616,36.27256,1.3204221
"013","1am",10.258159,50.69834,38.28635,0.7571477
"014","1am",11.303904,55.81106,32.88504,0
"015","1am",6.748992,49.64878,43.60223,0
"016","1am",9.698795,57.32485,32.48186,0.4944958
"017","1am",15.283669,57.88983,26.8265,0
"018","1am",11.464036,44.90571,42.4735,1.1567494
"001","2am",6.609964,36.68215,56.70789,0
"002","2am",9.748895,39.73547,50.13666,0.3789741
"003","2am",8.117144,43.40981,48.47304,0
"004","2am",7.028693,40.24917,52.72214,0
"005","2am",6.75928,40.95009,51.64475,0.6458738
"006","2am",12.02992,54.81684,32.73968,0.4135647
"007","2am",11.582975,49.22534,38.30536,0.8863217
"008","2am",11.854271,56.74945,28.69497,2.7013033
"009","2am",8.640076,57.63864,33.35521,0.3660747
"010","2am",17.513955,41.70771,40.77833,0
"011","2am",12.397687,47.89975,39.70257,0
"012","2am",11.180859,51.22616,36.27256,1.3204221
"013","2am",10.258159,50.69834,38.28635,0.7571477
"014","2am",11.303904,55.81106,32.88504,0
"015","2am",6.748992,49.64878,43.60223,0
"016","2am",9.698795,57.32485,32.48186,0.4944958
"017","2am",15.283669,57.88983,26.8265,0
"018","2am",11.464036,44.90571,42.4735,1.1567494
"001","3am",6.609964,36.68215,56.70789,0
