"district","hour","cs1","cs2","cs3","cs4","cs5"
"024","11am",8.3244667,24.35387,37.47308,24.47838,5.370204
"025","11am",5.9649265,24.629999,40.40401,23.17515,5.825915
"026","11am",3.0428092,23.889656,33.5714,28.86124,10.634894
"027","11am",6.8730093,28.017612,28.07081,32.94555,4.093024
"028","11am",3.6808737,16.932596,49.89817,19.87224,9.616117
"029","11am",2.1047131,20.113637,47.15736,19.92643,10.697857
"030","11am",1.9790719,21.196986,42.10402,22.21883,12.501096
"001","12am",5.0322645,20.344953,28.16242,38.44835,8.012016
"002","12am",3.1266806,17.809656,29.99701,40.37394,8.692716
"003","12am",3.794836,19.089083,46.6838,19.73135,10.700931
"004","12am",4.8826092,20.696074,37.01054,22.20184,15.208935
"005","12am",1.8903111,12.929357,40.16608,37.4661,7.548153
"006","12am",3.1439947,16.696281,41.63136,20.75766,17.770704
"007","12am",3.0321635,28.378138,36.46513,24.76065,7.363921
"008","12am",1.7240291,11.352711,44.53295,30.65479,11.735518
"009","12am",3.0469417,7.964509,40.20045,26.60864,22.179465
"010","12am",1.2533573,15.534638,37.18449,38.53578,7.491735
"011","12am",3.0044143,10.624519,33.68191,28.46699,24.222167
"012","12am",0.7251493,12.249427,48.00621,26.72468,12.294538
"013","12am",3.7408146,12.50098,32.17267,34.34939,17.236153
"014","12am",2.8676191,10.05864,49.87024,14.39578,22.807714
"015","12am",3.480872,14.898059,44.28047,25.34873,11.991867
"016","12am",0.8636674,12.933769,47.63808,22.56122,16.003267
"017","12am",5.1310665,25.896527,36.82832,24.33819,7.805894
"018","12am",0,9.866796,45.84035,21.78654,22.50632
"019","12am",1.1049713,15.659178,39.07599,32.30066,11.859204
"020","12am",3.7142753,13.972762,40.18937,22.13199,19.991595
"021","12am",2.5259276,11.318988,44.89607,24.68531,16.573699
"022","12am",6.3070561,19.073177,46.74318,17.39357,10.483015
"023","12am",0.5134898,9.898797,47.65884,33.40057,8.528298
"024","12am",8.0032677,23.804025,37.9099,25.77078,4.512029
"025","12am",5.895211,22.826213,41.4936,22.93002,6.854957
"026","12am",3.02123,25.749011,31.1175,27.13296,12.979298
"027","12am",6.7676963,25.622632,28.76766,34.46623,4.375772
"028","12am",3.5980586,16.551633,47.17538,23.27517,9.399766
"029","12am",1.9266106,24.152372,44.45377,16.88264,12.584609
"030","12am",2.0225916,20.875012,45.67476,20.30982,11.117819
"001","1pm",5.137671,21.363465,28.17967,36.65588,8.663318
"002","1pm",3.496485,19.743489,26.29219,42.96569,7.502153
"003","1pm",3.783583,18.119972,46.3943,21.09149,10.610651
"004","1pm",4.887197,17.097673,39.20918,23.58272,15.223226
"005","1pm",1.849931,16.259672,36.89125,38.9656,6.03355
"006","1pm",3.082681,16.318503,43.72427,23.29926,13.575288
"007","1pm",2.909807,32.454027,32.0686,21.88103,10.686542
"008","1pm",1.800197,11.854274,42.43401,31.65753,12.253993
"009","1pm",2.974163,8.019419,37.81278,27.01244,24.181206
"010","1pm",1.367709,12.483595,40.87324,36.16002,9.115443
"011","1pm",2.737681,7.92611,38.04749,27.5912,23.697518
"012","1pm",0,12.87619,44.45145,28.97619,13.696169
"013","1pm",4.121788,12.993934,26.89777,36.81174,19.174765
"014","1pm",2.829472,7.786092,51.83827,15.11522,22.430942
"015","1pm",4.48441,9.931494,46.82511,26.14131,12.617677
"016","1pm",1.087073,12.85848,50.09595,20.63465,15.323841
"017","1pm",5.492207,27.681024,33.8197,25.91792,7.089149
"018","1pm",0,10.569477,45.89089,23.2781,20.261538
"019","1pm",1.165399,14.460593,38.29493,36.0717,10.007376
"020","1pm",3.81594,11.841991,42.33708,20.43844,21.566545
"021","1pm",2.397596,12.06685,45.77767,29.70777,10.050113
"022","1pm",5.430403,21.234629,44.73628,18.38545,10.213237
"023","1pm",0.529148,10.887031,42.85587,37.54057,8.187381
"024","1pm",8.711582,22.332296,36.71974,26.61246,5.623922
"025","1pm",5.755054,20.265345,42.43499,24.85263,6.691982
"026","1pm",2.916461,26.427915,33.61308,27.36165,9.680887
"027","1pm",6.587062,25.889802,30.23054,32.97825,4.314341
"028","1pm",3.72508,17.424162,49.05677,19.41138,10.382608
"029","1pm",2.106163,24.861751,43.29405,19.03281,10.705227
"030","1pm",1.958502,21.686705,41.92354,20.68276,13.748488
"001","2pm",5.2293583,21.020489,29.21041,35.38956,9.150177
"002","2pm",3.0789436,18.810767,28.06872,37.82708,12.214493
"003","2pm",4.24898,18.224607,46.29964,20.09768,11.129097
"004","2pm",4.6146728,18.723379,41.58474,25.17779,9.899418
"005","2pm",1.7990403,15.097167,36.65242,40.19232,6.25905
"006","2pm",3.2181486,17.038838,44.78539,23.21043,11.747187
"007","2pm",2.9084676,32.505361,33.31229,20.7754,10.498484
"008","2pm",1.7939168,13.04805,42.98811,31.09155,11.078372
"009","2pm",3.6862943,6.982632,35.78387,27.83609,25.711107
"010","2pm",1.3560221,12.376923,39.87357,38.54276,7.850724
"011","2pm",2.5239171,6.97943,37.52748,29.53475,23.434415
"012","2pm",0,12.65319,42.26594,29.59751,15.483362
"013","2pm",3.838145,13.813265,29.2959,33.21452,19.838168
"014","2pm",3.8759736,5.432879,53.66404,10.64527,26.381835
"015","2pm",4.4756481,11.859379,47.08407,24.337,12.243907
"016","2pm",1.0127794,13.568708,50.46521,19.68526,15.268045
"017","2pm",5.3261456,28.326227,33.64561,26.09188,6.610131
