"district","hour","cs1","cs2","cs3","cs4","cs5"
"021","11am",197.08523,955.0815,4245.835,1746.8356,1037.8687
"022","11am",350.70737,1067.1687,2093.333,1038.9634,516.4753
"023","11am",29.45372,511.1358,2200.177,2099.0192,455.7304
"024","11am",411.27163,1203.2069,1851.364,1209.3581,265.3158
"025","11am",484.25777,1999.5667,3280.167,1881.4559,472.9722
"026","11am",191.46809,1503.2513,2112.473,1816.0869,669.1983
"027","11am",374.51386,1526.6943,1529.593,1795.22,223.031
"028","11am",274.93554,1264.7466,3727.045,1484.3178,718.2567
"029","11am",118.7952,1135.2633,2661.678,1124.697,603.8134
"030","11am",154.47894,1654.5573,3286.482,1734.3186,975.7887
"001","12am",512.23159,2070.9023,2866.638,3913.6374,815.5389
"002","12am",216.04819,1230.6163,2072.741,2789.7687,600.6516
"003","12am",461.25848,2320.2587,5674.368,2398.3261,1300.6873
"004","12am",381.44482,1616.8426,2891.38,1734.478,1188.1699
"005","12am",119.97525,820.6072,2549.282,2377.9176,479.0701
"006","12am",205.52491,1091.4464,2721.468,1356.9412,1161.6821
"007","12am",230.02203,2152.7852,2766.27,1878.3598,558.6321
"008","12am",121.02859,796.9718,3126.258,2151.9972,823.8452
"009","12am",222.16674,580.7295,2931.202,1940.16,1617.2083
"010","12am",69.5458,861.9799,2063.279,2138.2581,415.6985
"011","12am",355.90027,1258.5712,3989.929,3372.1743,2869.3365
"012","12am",59.00253,996.6874,3906.075,2174.4813,1000.3578
"013","12am",283.60127,947.7331,2439.097,2604.1197,1306.7194
"014","12am",153.96815,540.0683,2677.632,772.9381,1224.5914
"015","12am",273.94676,1172.4864,3484.9,1994.9608,943.7673
"016","12am",89.15785,1335.175,4917.76,2329.0328,1652.0445
"017","12am",444.3452,2242.6132,3189.296,2107.6626,675.9826
"018","12am",0,548.9123,2550.203,1212.0345,1252.0777
"019","12am",83.19639,1179.0234,2942.141,2432.0075,892.9128
"020","12am",360.37175,1355.6854,3899.311,2147.322,1939.6533
"021","12am",197.08523,883.1628,3503.011,1926.0688,1293.1611
