"district","hour","age1","age2","age3","age4"
"017","7pm",814.08,788.64,4528.32,1411.92
"018","7pm",1106.64,1004.88,4210.32,1233.84
"019","7pm",750.48,737.76,3281.76,737.76
"020","7pm",508.8,228.96,2811.12,1488.24
"021","7pm",686.88,826.8,3930.48,1043.04
"022","7pm",343.44,737.76,3599.76,2073.36
"023","7pm",648.72,597.84,3243.6,1017.6
"024","7pm",699.6,648.72,2849.28,1221.12
"025","7pm",674.16,674.16,3816,1526.4
"026","7pm",457.92,432.48,2811.12,1666.32
"027","7pm",572.4,419.76,3154.56,1259.28
"028","7pm",648.72,686.88,3141.84,852.24
"029","7pm",648.72,572.4,2467.68,508.8
"001","8pm",648.72,826.8,3167.28,2200.56
"002","8pm",1068.48,941.28,2633.04,2098.8
"003","8pm",737.76,750.48,3599.76,1577.28
"004","8pm",1857.12,1806.24,5825.76,3879.6
"005","8pm",1679.04,1272,6410.88,4172.16
"006","8pm",2086.08,1729.92,8471.52,2493.12
"007","8pm",1615.44,1666.32,8675.04,6143.76
"008","8pm",1030.32,864.96,4286.64,1895.28
"009","8pm",903.12,648.72,4057.68,1602.72
"010","8pm",623.28,381.6,3078.24,1857.12
"011","8pm",1119.36,661.44,3714.24,1144.8
"012","8pm",1806.24,1424.64,7123.2,3574.32
"013","8pm",2098.8,1399.2,8255.28,2963.76
"014","8pm",864.96,610.56,3752.4,1373.76
"015","8pm",585.12,750.48,4146.72,1551.84
"016","8pm",979.44,801.36,4553.76,1221.12
"017","8pm",890.4,890.4,4579.2,1424.64
"018","8pm",1132.08,1030.32,4401.12,1259.28
"019","8pm",763.2,775.92,3345.36,737.76
"020","8pm",508.8,241.68,2874.72,1488.24
"021","8pm",712.32,852.24,4057.68,1055.76
"022","8pm",381.6,737.76,3637.92,2009.76
"023","8pm",674.16,597.84,3332.64,1055.76
"024","8pm",725.04,648.72,2887.44,1221.12
"025","8pm",712.32,699.6,3930.48,1539.12
"026","8pm",470.64,419.76,2900.16,1679.04
"027","8pm",572.4,432.48,3230.88,1259.28
"028","8pm",636,712.32,3243.6,864.96
"029","8pm",597.84,432.48,1997.04,356.16
"001","9pm",597.84,788.64,2887.44,1997.04
"002","9pm",1055.76,826.8,2378.64,2111.52
"003","9pm",699.6,737.76,3561.6,1602.72
"004","9pm",1628.16,1742.64,5507.76,3930.48
"005","9pm",1818.96,1297.44,6474.48,4159.44
"006","9pm",2162.4,1818.96,8789.52,2556.72
"007","9pm",1691.76,1691.76,8738.64,6181.92
"008","9pm",903.12,839.52,3994.08,1793.52
"009","9pm",1004.88,661.44,4337.52,1653.6
"010","9pm",546.96,407.04,3014.64,1857.12
"011","9pm",1068.48,636,3828.72,1132.08
"012","9pm",1755.36,1424.64,6906.96,3536.16
"013","9pm",2136.96,1437.36,8458.8,2989.2
"014","9pm",928.56,623.28,3854.16,1361.04
"015","9pm",597.84,814.08,4108.56,1551.84
"016","9pm",992.16,826.8,4655.52,1259.28
"017","9pm",1004.88,890.4,4757.28,1424.64
"018","9pm",1170.24,1055.76,4502.88,1310.16
"019","9pm",775.92,788.64,3523.44,775.92
"020","9pm",546.96,228.96,2951.04,1462.8
"021","9pm",763.2,877.68,4184.88,1081.2
"022","9pm",407.04,686.88,3637.92,2022.48
"023","9pm",712.32,623.28,3319.92,1068.48
"024","9pm",737.76,661.44,2887.44,1221.12
"025","9pm",725.04,712.32,4095.84,1615.44
"026","9pm",496.08,470.64,2925.6,1729.92
"027","9pm",546.96,432.48,3243.6,1272
"028","9pm",648.72,712.32,3358.08,877.68
"029","9pm",508.8,394.32,1437.36,178.08
"001","10pm",508.8,737.76,2518.56,1908
"002","10pm",928.56,750.48,2213.28,2098.8
"003","10pm",699.6,750.48,3434.4,1526.4
"004","10pm",1475.52,1742.64,5584.08,4032.24
"005","10pm",1818.96,1373.76,6538.08,4146.72
"006","10pm",2251.44,1818.96,8980.32,2569.44
"007","10pm",1768.08,1640.88,8802.24,6232.8
"008","10pm",801.36,864.96,3955.92,1818.96
"009","10pm",992.16,661.44,4413.84,1704.48
"010","10pm",559.68,407.04,3040.08,1895.28
