"district","hour","act1","act2","act3","act4","act5"
"009","6pm",4169.493,220.171264,41.282112,89.444576,488.50499
"010","6pm",3749.792,178.889152,0,0,378.41936
"011","6pm",4162.613,240.81232,13.760704,75.683872,509.14605
"012","6pm",3983.724,55.042816,0,0,130.72669
"013","6pm",3137.441,41.282112,0,0,20.64106
"014","6pm",4472.229,309.61584,0,220.171264,357.7783
"015","6pm",4313.981,13.760704,0,6.880352,144.48739
"016","6pm",4135.092,68.80352,6.880352,34.40176,151.36774
"017","6pm",3797.954,6.880352,0,0,55.04282
"018","6pm",4348.382,144.487392,6.880352,27.521408,247.69267
"019","6pm",3942.442,96.324928,0,6.880352,213.29091
"020","6pm",4348.382,75.683872,0,13.760704,151.36774
"021","6pm",3963.083,27.521408,0,0,144.48739
"001","7pm",4031.886,185.7695,309.61584,6.880352,667.39414
"002","7pm",3742.911,227.05162,0,481.62464,330.2569
"003","7pm",3653.467,247.69267,20.641056,144.487392,316.49619
"004","7pm",4210.775,48.16246,6.880352,13.760704,330.2569
"005","7pm",3522.74,282.09443,48.162464,41.282112,612.35133
"006","7pm",4176.374,165.12845,6.880352,0,275.21408
"007","7pm",4045.647,41.28211,0,0,254.57302
"008","7pm",4252.058,41.28211,13.760704,41.282112,192.64986
"009","7pm",4355.263,199.53021,41.282112,6.880352,571.06922
"010","7pm",3859.877,123.84634,0,6.880352,440.34253
"011","7pm",4258.938,227.05162,13.760704,34.40176,584.82992
"012","7pm",4073.168,48.16246,0,0,144.48739
"013","7pm",3178.723,41.28211,0,0,27.52141
"014","7pm",4609.836,254.57302,0,144.487392,350.89795
"015","7pm",4313.981,13.7607,0,0,178.88915
"016","7pm",4183.254,61.92317,6.880352,20.641056,165.12845
"017","7pm",3921.801,0,0,0,61.92317
"018","7pm",4382.784,110.08563,6.880352,13.760704,261.45338
"019","7pm",4018.126,103.20528,0,0,165.12845
"020","7pm",4389.665,61.92317,0,6.880352,144.48739
"021","7pm",3956.202,20.64106,0,0,144.48739
"001","8pm",4169.493,158.2481,254.573024,6.880352,495.385344
"002","8pm",3859.877,178.88915,0,130.726688,247.692672
"003","8pm",3784.194,192.64986,13.760704,27.521408,302.735488
"004","8pm",4355.263,41.28211,6.880352,6.880352,247.692672
"005","8pm",3584.663,227.05162,48.162464,6.880352,481.62464
"006","8pm",4355.263,165.12845,0,0,233.931968
"007","8pm",4169.493,41.28211,0,0,227.051616
"008","8pm",4458.468,41.28211,6.880352,20.641056,178.889152
"009","8pm",4596.075,165.12845,34.40176,0,522.906752
"010","8pm",3949.322,116.96598,0,0,337.137248
"011","8pm",4293.34,192.64986,6.880352,27.521408,481.62464
"012","8pm",4272.699,41.28211,0,0,123.846336
"013","8pm",3240.646,34.40176,0,0,6.880352
"014","8pm",4733.682,213.29091,0,27.521408,337.137248
"015","8pm",4458.468,13.7607,0,13.760704,151.367744
"016","8pm",4258.938,48.16246,6.880352,6.880352,172.0088
"017","8pm",4004.365,0,0,0,27.521408
"018","8pm",4520.391,96.32493,6.880352,6.880352,199.530208
"019","8pm",4176.374,68.80352,0,0,144.487392
"020","8pm",4499.75,48.16246,0,0,123.846336
"021","8pm",4038.767,20.64106,0,0,89.444576
"001","9pm",4293.34,130.726688,130.726688,13.760704,254.573024
