"district","hour","occ1","occ2","occ3","occ4","occ5"
"023","2pm",1014.1046,0,0,0,0
"024","2pm",0,0,0,0,0
"025","2pm",0,0,0,0,0
"026","2pm",0,0,0,0,0
"027","2pm",0,0,0,0,0
"028","2pm",0,0,0,0,0
"029","2pm",1420.373,0,0,0,0
"030","2pm",0,0,0,0,0
"031","2pm",2125.5066,0,0,0,0
"032","2pm",1071.8861,0,0,0,0
"033","2pm",0,0,0,0,0
"034","2pm",0,0,0,0,0
"035","2pm",0,0,0,0,0
"036","2pm",653.3178,0,0,0,0
"037","2pm",933.7786,1037.6637,0,0,0
"038","2pm",1055.5202,0,0,0,0
"039","2pm",663.4111,0,0,0,0
"040","2pm",0,0,0,0,0
"041","2pm",879.7603,0,0,0,0
"001","3pm",5184.9784,2013.7927,0,1113.9619,0
"002","3pm",2574.1534,1810.1384,0,0,0
"003","3pm",953.8258,0,0,0,0
"004","3pm",989.9483,1675.3378,0,0,0
"005","3pm",2353.5105,0,0,0,0
"006","3pm",963.7998,578.1713,0,0,0
"007","3pm",741.2331,0,0,0,0
"008","3pm",685.5751,0,0,0,0
"009","3pm",2209.1787,0,0,0,0
"010","3pm",1748.0454,0,0,416.7433,0
"011","3pm",1441.2603,1605.0087,0,0,0
"012","3pm",2070.0022,0,0,0,0
"013","3pm",3784.0932,0,0,1251.9455,0
"014","3pm",0,0,0,0,0
"015","3pm",672.8373,0,0,0,0
"016","3pm",0,0,0,0,0
"017","3pm",990.5743,0,0,0,0
"018","3pm",1442.9911,0,0,0,0
"019","3pm",0,0,0,0,0
"020","3pm",0,0,0,0,0
"021","3pm",2107.3293,1557.8007,390.6144,633.8098,0
"022","3pm",0,0,0,0,0
"023","3pm",1116.747,0,0,0,0
"024","3pm",0,0,0,0,0
"025","3pm",0,0,0,0,0
"026","3pm",0,0,0,0,0
"027","3pm",0,0,0,0,0
"028","3pm",0,0,0,0,0
"029","3pm",1256.3287,0,0,0,0
"030","3pm",0,0,0,0,0
"031","3pm",1886.6646,0,0,0,0
"032","3pm",1182.4996,0,0,0,0
"033","3pm",0,0,0,0,0
"034","3pm",0,0,0,0,0
"035","3pm",0,0,0,0,0
"036","3pm",586.8619,0,0,0,0
"037","3pm",1021.7806,790.6282,0,0,0
"038","3pm",825.2277,0,0,0,0
"039","3pm",588.8512,0,0,0,0
"040","3pm",0,0,0,0,0
"041","3pm",879.7603,0,0,0,0
"001","4pm",4378.209,1900.5957,0,562.1009,0
"002","4pm",2309.436,1057.217,0,0,0
"003","4pm",676.5551,0,0,0,0
"004","4pm",940.3619,1065.3841,0,0,0
"005","4pm",1815.7498,0,0,0,0
"006","4pm",814.119,510.3823,0,0,0
"007","4pm",0,0,0,0,0
"008","4pm",929.4004,0,0,0,0
"009","4pm",1875.3839,0,0,482.3528,0
"010","4pm",1523.0029,0,0,0,0
"011","4pm",1430.7637,1162.4429,0,0,0
"012","4pm",1304.3029,0,0,0,0
"013","4pm",3179.6121,0,0,916.1213,0
"014","4pm",0,0,0,0,0
"015","4pm",542.6552,0,0,0,0
"016","4pm",627.5913,0,0,0,0
"017","4pm",1037.6526,0,0,0,0
"018","4pm",1086.5063,0,0,0,0
"019","4pm",0,0,0,0,0
"020","4pm",0,0,0,0,0
"021","4pm",1576.0065,1085.7082,0,0,0
"022","4pm",0,0,0,0,0
"023","4pm",963.7737,0,0,0,0
"024","4pm",0,0,0,0,0
"025","4pm",0,0,0,0,0
"026","4pm",0,0,0,0,0
"027","4pm",0,0,0,0,0
"028","4pm",0,0,0,0,0
"029","4pm",925.4657,0,0,0,0
"030","4pm",0,0,0,0,0
"031","4pm",1529.5636,0,0,0,0
"032","4pm",1286.3218,0,0,0,0
"033","4pm",0,0,0,0,0
"034","4pm",0,0,0,0,0
"035","4pm",0,0,0,0,0
"036","4pm",615.4699,0,0,0,0
"037","4pm",626.3196,0,0,0,0
"038","4pm",0,0,0,0,0
"039","4pm",0,0,0,0,0
"040","4pm",0,0,0,0,0
"041","4pm",626.9868,0,0,0,0
"001","5pm",2791.1824,1077.6342,0,0,0
"002","5pm",824.9309,0,0,0,0
"003","5pm",954.3469,0,0,0,0
"004","5pm",0,0,0,0,0
"005","5pm",1191.4434,0,0,0,0
"006","5pm",713.4599,0,0,0,0
"007","5pm",0,0,0,0,0
"008","5pm",0,0,0,0,0
"009","5pm",1225.2064,0,0,0,0
"010","5pm",0,0,0,0,0
"011","5pm",901.1275,665.0786,0,0,0
"012","5pm",1132.3015,0,0,0,0
"013","5pm",3024.387,0,0,0,0
"014","5pm",0,0,0,0,0
"015","5pm",0,0,0,0,0
"016","5pm",0,0,0,0,0
"017","5pm",874.4774,0,0,0,0
"018","5pm",1083.1262,0,0,0,0
"019","5pm",0,0,0,0,0
"020","5pm",0,0,0,0,0
"021","5pm",1221.8347,0,0,0,0
"022","5pm",0,0,0,0,0
"023","5pm",0,0,0,0,0
"024","5pm",0,0,0,0,0
"025","5pm",0,0,0,0,0
"026","5pm",0,0,0,0,0
"027","5pm",0,0,0,0,0
"028","5pm",0,0,0,0,0
"029","5pm",666.3444,0,0,0,0
"030","5pm",0,0,0,0,0
"031","5pm",1055.2171,0,0,0,0
"032","5pm",1109.0347,0,0,0,0
"033","5pm",0,0,0,0,0
"034","5pm",0,0,0,0,0
"035","5pm",0,0,0,0,0
"036","5pm",0,0,0,0,0
"037","5pm",0,0,0,0,0
"038","5pm",0,0,0,0,0
"039","5pm",0,0,0,0,0
"040","5pm",0,0,0,0,0
"041","5pm",0,0,0,0,0
"001","6pm",1990.1654,751.869,0,0,0
"002","6pm",0,0,0,0,0
"003","6pm",929.1975,0,0,0,0
"004","6pm",0,0,0,0,0
"005","6pm",1193.0365,0,0,0,0
"006","6pm",656.9077,0,0,0,0
"007","6pm",0,0,0,0,0
"008","6pm",0,0,0,0,0
"009","6pm",1184.0007,0,0,0,0
"010","6pm",0,0,0,0,0
"011","6pm",846.866,0,0,0,0
"012","6pm",819.7478,0,0,0,0
"013","6pm",2216.0568,0,0,0,0
"014","6pm",0,0,0,0,0
"015","6pm",0,0,0,0,0
"016","6pm",0,0,0,0,0
"017","6pm",453.4076,0,0,0,0
"018","6pm",736.8436,0,0,0,0
"019","6pm",0,0,0,0,0
"020","6pm",0,0,0,0,0
"021","6pm",659.0543,0,0,0,0
"022","6pm",0,0,0,0,0
"023","6pm",0,0,0,0,0
"024","6pm",0,0,0,0,0
"025","6pm",0,0,0,0,0
"026","6pm",0,0,0,0,0
"027","6pm",0,0,0,0,0
"028","6pm",0,0,0,0,0
"029","6pm",0,0,0,0,0
"030","6pm",0,0,0,0,0
"031","6pm",700.4768,0,0,0,0
"032","6pm",778.5464,0,0,0,0
"033","6pm",0,0,0,0,0
"034","6pm",0,0,0,0,0
"035","6pm",0,0,0,0,0
"036","6pm",0,0,0,0,0
"037","6pm",0,0,0,0,0
"038","6pm",0,0,0,0,0
"039","6pm",0,0,0,0,0
"040","6pm",0,0,0,0,0
"041","6pm",0,0,0,0,0
"001","7pm",1274.6331,0,0,0,0
"002","7pm",0,0,0,0,0
"003","7pm",0,0,0,0,0
"004","7pm",0,0,0,0,0
"005","7pm",848.5962,0,0,0,0
"006","7pm",0,0,0,0,0
"007","7pm",0,0,0,0,0
"008","7pm",0,0,0,0,0
"009","7pm",0,0,0,0,0
"010","7pm",0,0,0,0,0
"011","7pm",515.6127,0,0,0,0
"012","7pm",698.1265,0,0,0,0
"013","7pm",1168.8511,0,0,0,0
"014","7pm",0,0,0,0,0
"015","7pm",0,0,0,0,0
"016","7pm",0,0,0,0,0
"017","7pm",0,0,0,0,0
"018","7pm",0,0,0,0,0
"019","7pm",0,0,0,0,0
"020","7pm",0,0,0,0,0
"021","7pm",0,0,0,0,0
"022","7pm",0,0,0,0,0
"023","7pm",0,0,0,0,0
"024","7pm",0,0,0,0,0
"025","7pm",0,0,0,0,0
"026","7pm",0,0,0,0,0
"027","7pm",0,0,0,0,0
"028","7pm",0,0,0,0,0
"029","7pm",0,0,0,0,0
"030","7pm",0,0,0,0,0
"031","7pm",0,0,0,0,0
"032","7pm",784.5113,0,0,0,0
"033","7pm",0,0,0,0,0
"034","7pm",0,0,0,0,0
"035","7pm",0,0,0,0,0
"036","7pm",0,0,0,0,0
"037","7pm",0,0,0,0,0
"038","7pm",0,0,0,0,0
"039","7pm",0,0,0,0,0
"040","7pm",0,0,0,0,0
"041","7pm",0,0,0,0,0
"001","8pm",954.0277,0,0,0,0
"002","8pm",0,0,0,0,0
"003","8pm",0,0,0,0,0
"004","8pm",0,0,0,0,0
"005","8pm",0,0,0,0,0
"006","8pm",0,0,0,0,0
"007","8pm",0,0,0,0,0
"008","8pm",0,0,0,0,0
"009","8pm",0,0,0,0,0
"010","8pm",0,0,0,0,0
"011","8pm",0,0,0,0,0
"012","8pm",651.1339,0,0,0,0
"013","8pm",596.4239,0,0,0,0
"014","8pm",0,0,0,0,0
"015","8pm",0,0,0,0,0
"016","8pm",0,0,0,0,0
"017","8pm",0,0,0,0,0
"018","8pm",0,0,0,0,0
"019","8pm",0,0,0,0,0
"020","8pm",0,0,0,0,0
"021","8pm",0,0,0,0,0
"022","8pm",0,0,0,0,0
"023","8pm",0,0,0,0,0
"024","8pm",0,0,0,0,0
"025","8pm",0,0,0,0,0
"026","8pm",0,0,0,0,0
"027","8pm",0,0,0,0,0
"028","8pm",0,0,0,0,0
