"district","hour","cs1","cs2","cs3","cs4","cs5"
"012","11am",0,1467.3259,0,709.1518,0
"013","11am",0,979.7377,1543.5849,846.5305,0
"014","11am",0,0,0,0,0
"015","11am",0,0,0,0,0
"016","11am",0,0,0,0,0
"017","11am",0,0,0,0,0
"018","11am",0,1658.3837,0,0,0
"019","11am",0,0,0,0,0
"020","11am",0,0,0,0,0
"021","11am",0,0,979.2897,599.7636,0
"022","11am",0,0,0,0,0
"023","11am",0,0,0,0,0
"024","11am",0,0,0,0,0
"025","11am",0,0,0,0,0
"026","11am",0,0,0,0,0
"027","11am",0,0,0,0,0
"028","11am",0,0,0,0,0
"029","11am",0,699.3711,0,0,0
"030","11am",0,0,0,0,0
"031","11am",0,648.2434,736.0046,602.4283,0
"032","11am",0,0,0,0,0
"033","11am",0,0,0,0,0
"034","11am",0,0,0,0,0
"035","11am",0,0,0,0,0
"036","11am",0,0,0,0,0
"037","11am",0,0,0,0,0
"038","11am",0,645.757,0,0,0
"039","11am",0,0,0,0,0
"040","11am",0,0,0,0,0
"041","11am",0,593.7338,0,0,0
"001","12am",0,0,2024.9865,1429.7577,0
"002","12am",0,0,793.4371,604.9113,0
"003","12am",0,0,0,0,0
"004","12am",0,0,0,0,0
"005","12am",0,607.6047,1279.7567,799.7897,0
"006","12am",0,0,0,0,0
"007","12am",0,0,0,0,0
"008","12am",0,0,0,0,0
"009","12am",0,1275.7246,609.3467,786.9204,0
"010","12am",0,0,0,633.9661,0
"011","12am",0,0,773.4924,0,0
"012","12am",0,1340.492,0,835.6756,0
"013","12am",0,830.0914,1398.2422,686.0242,0
"014","12am",0,0,0,0,0
"015","12am",0,0,0,0,0
"016","12am",0,0,0,0,0
"017","12am",0,0,0,0,0
"018","12am",0,1670.3219,0,0,0
"019","12am",0,0,0,0,0
"020","12am",0,0,0,0,0
"021","12am",0,0,683.2044,562.6026,0
"022","12am",0,0,0,0,0
"023","12am",0,0,0,0,0
"024","12am",0,0,0,0,0
"025","12am",0,0,0,0,0
"026","12am",0,0,0,0,0
"027","12am",0,0,0,0,0
"028","12am",0,0,0,0,0
"029","12am",0,838.188,0,0,0
