"district","hour","rev5","rev1","rev2","rev3","rev4"
"006","8am",23.44291,20.415225,28.63322,21.107266,6.401384
"007","8am",23.62489,23.264202,23.80523,22.091975,7.213706
"010","8am",23.50055,8.887677,21.53762,29.607415,16.466739
"011","8am",23.20988,6.91358,19.50617,32.716049,17.654321
"012","8am",26.90882,8.228317,19.9407,28.836175,16.08599
"013","8am",23.06569,13.576642,23.94161,31.532847,7.883212
"014","8am",24.42922,5.251142,16.89498,31.73516,21.689498
"015","8am",26.32541,15.539305,28.15356,20.658135,9.323583
"016","8am",25.79365,13.888889,31.34921,24.603175,4.365079
"017","8am",25.5079,12.641084,22.1219,30.022573,9.706546
"018","8am",25.9009,11.486486,27.02703,25.225225,10.36036
"019","8am",26.39821,10.850112,29.08277,25.615213,8.053691
"020","8am",28.55072,19.130435,22.75362,22.028986,7.536232
"021","8am",25.12077,17.391304,24.03382,25.845411,7.608696
"023","8am",26.08126,6.159895,29.61992,26.605505,11.533421
"024","8am",26.90355,16.243655,27.15736,24.619289,5.076142
"025","8am",31.07143,32.142857,24.64286,8.571429,3.571429
"026","8am",28.81356,7.118644,22.71186,31.525424,9.830508
"027","8am",25.1773,11.347518,32.62411,25.177305,5.673759
"028","8am",28.25397,11.111111,21.90476,28.888889,9.84127
"029","8am",28.45912,8.333333,21.38365,28.459119,13.36478
"030","8am",29.30029,13.411079,23.76093,24.927114,8.600583
"031","8am",23.7678,19.715225,27.27273,22.782037,6.462212
"032","8am",23.6417,14.977974,24.52276,26.284875,10.572687
"033","8am",23.73081,11.097993,28.80756,25.14758,11.216057
"034","8am",23.09198,9.001957,24.46184,31.11546,12.328767
"035","8am",23.19801,6.876553,23.19801,30.488815,16.238608
"036","8am",28.11671,8.885942,26.79045,27.188329,9.018568
"037","8am",26.07595,14.050633,26.83544,24.43038,8.607595
"038","8am",24,11.733333,34.13333,19.733333,10.4
"039","8am",24.03561,9.792285,37.38872,23.738872,5.04451
"040","8am",23.35456,8.704883,30.78556,29.723992,7.430998
"041","8am",21.4511,8.832808,35.33123,28.706625,5.678233
"042","8am",24.26471,7.47549,24.63235,31.985294,11.642157
"043","8am",27.60664,14.454976,23.93365,24.881517,9.123223
"044","8am",23.55491,12.5,23.62717,27.16763,13.150289
"045","8am",30.57644,10.526316,27.3183,21.303258,10.275689
"046","8am",23.11558,12.897822,26.63317,25.795645,11.557789
"047","8am",29.43144,10.367893,26.75585,29.431438,4.013378
"048","8am",23.11757,10.03963,28.13738,27.476882,11.228534
"049","8am",27.62431,6.445672,29.28177,25.782689,10.865562
"050","8am",28.7619,10.47619,25.33333,24.380952,11.047619
"051","8am",19.72477,14.220183,27.06422,28.899083,10.091743
"052","8am",25.03748,7.346327,30.58471,26.836582,10.194903
"053","8am",25.81967,11.065574,26.22951,25.819672,11.065574
"054","8am",24.77064,13.761468,32.56881,24.311927,4.587156
"055","8am",23.32016,14.624506,32.41107,24.505929,5.13834
"056","8am",24.76489,13.166144,35.73668,20.376176,5.956113
"059","8am",21.875,4.375,23.28125,34.53125,15.9375
"060","8am",24.32432,15.015015,25.52553,24.624625,10.510511
"061","8am",31.59509,3.067485,19.0184,26.687117,19.631902
"062","8am",29.71014,15.942029,22.82609,25.362319,6.15942
"063","8am",26.77165,14.435696,34.12073,18.372703,6.299213
"064","8am",28.54251,13.765182,32.59109,20.040486,5.060729
"065","8am",19.67213,17.486339,30.32787,25.68306,6.830601
"066","8am",25.07246,16.956522,29.56522,20.144928,8.26087
"067","8am",28.76344,15.860215,28.76344,17.473118,9.139785
"068","8am",27.88462,17.628205,30.76923,15.705128,8.012821
"069","8am",18.6907,6.26186,22.20114,30.834915,22.011385
"070","8am",22.15815,9.472817,17.71005,30.230643,20.428336
"071","8am",22.03947,11.951754,20.06579,28.289474,17.653509
"072","8am",25.06527,6.788512,16.71018,29.373368,22.062663
"073","8am",23.40544,12.978369,22.73988,26.788686,14.087632
"074","8am",31.59041,16.013072,25.27233,21.023965,6.100218
"075","8am",31.67155,16.422287,28.15249,20.527859,3.225806
"076","8am",27.32558,9.883721,28.48837,25.872093,8.430233
"001","9am",19.86784,10.220264,19.42731,32.11454,18.370044
"003","9am",19.96392,13.710162,20.38485,29.22429,16.716777
"004","9am",22.13884,24.108818,24.29644,21.85741,7.598499
"005","9am",25.0501,17.134269,23.8477,24.4489,9.519038
"006","9am",23.7303,19.877408,28.54641,21.27846,6.567426
"007","9am",24.36131,23.266423,23.26642,22.62774,6.478102
"010","9am",23.15685,9.203365,21.87036,29.68827,16.081148
"011","9am",22.22222,6.884058,20.5314,33.09179,17.270531
