"variable","code_sec","ressect","poidsp"
"h10","7513","9506",1259.13801157674
"h10","7513","9507",611.351048373713
"h10","7513","9508",832.341578801521
"h10","7513","9511",285.755401598958
"h10","7513","9512",534.844168281534
"h10","7513","9513",213.256646043319
"h10","7514","7501",983.772460049057
"h10","7514","7504",903.15707289871
"h10","7514","7506",2303.83199075122
"h10","7514","7507",790.190483321317
"h10","7514","7508",410.950009371608
"h10","7514","7509",832.808344897156
"h10","7514","7510",416.871738117754
"h10","7514","7512",994.698081781173
"h10","7514","7513",1163.34295189035
"h10","7514","7702",1150.85738998718
"h10","7514","7708",906.592953036644
"h10","7514","7712",909.835625708308
"h10","7514","7714",406.421412305122
"h10","7514","7716",323.017773617262
"h10","7514","7801",278.372733974333
"h10","7514","7815",164.017870910769
"h10","7514","9101",164.339928293723
"h10","7514","9105",216.272957662741
"h10","7514","9107",240.796852337081
"h10","7514","9108",388.555833016336
"h10","7514","9109",201.860642936152
"h10","7514","9112",113.694760312737
"h10","7514","9203",584.448526371062
"h10","7514","9207",333.576592354356
"h10","7514","9208",467.05486774785
"h10","7514","9209",245.040931774865
"h10","7514","9211",256.868632236047
"h10","7514","9302",111.738052430697
"h10","7514","9303",1118.73321388295
"h10","7514","9304",1583.5579599754
"h10","7514","9305",772.690833660602
"h10","7514","9312",2224.35076303527
"h10","7514","9402",801.721858035707
"h10","7514","9403",1106.21625266976
"h10","7514","9405",361.683405082944
"h10","7514","9407",578.838440462456
"h10","7514","9409",1842.52719827716
"h10","7514","9414",59.6795477925233
"h10","7514","9507",523.739101189839
"h10","7514","9511",309.46345683793
"h10","7701","7501",607.420046096056
"h10","7701","7504",227.062187952849
"h10","7701","7510",732.894421905111
"h10","7701","7513",713.911573020149
"h10","7701","7514",465.300302262146
"h10","7701","7702",7992.82306449797
"h10","7701","7703",1197.96039858181
"h10","7701","7704",2456.119951848
"h10","7701","7705",1637.66173233062
"h10","7701","7706",2486.85334484807
"h10","7701","7707",398.333245819
"h10","7701","7708",4805.63280058619
"h10","7701","7709",2298.29921465977
"h10","7701","7710",2250.38392083282
"h10","7701","7713",93.0490888055788
"h10","7701","7715",144.665603083107
"h10","7701","7716",90.9522911038805
"h10","7701","7803",1447.96199086893
"h10","7701","7807",262.099314895554
"h10","7701","7815",171.260331101699
"h10","7701","9104",172.354098541241
"h10","7701","9106",797.749920689733
"h10","7701","9202",132.200397729544
"h10","7701","9211",510.620535981343
"h10","7701","9302",441.805385250675
"h10","7701","9306",2555.42433993711
"h10","7701","9307",357.523616581598
"h10","7701","9308",842.299541161951
"h10","7701","9309",1524.2009190012
